Epoch,Discriminator_Loss,Generator_Loss,Generator_MSE
1,0.688024282,0.703172445,0.200086565
2,0.681560546,0.698069692,0.25866884
3,0.676993906,0.732524693,0.240596484
4,0.666075885,0.743742168,0.288632153
5,0.656477332,0.754368305,0.300909891
6,0.646046311,0.748802423,0.352947224
7,0.63992092,0.791592538,0.318342293
8,0.626945227,0.797114015,0.361389268
9,0.621976078,0.789152384,0.323273525
10,0.622124195,0.799812317,0.250172075
11,0.609126657,0.84190774,0.260322237
12,0.604150504,0.834221721,0.265986171
13,0.600592285,0.876236737,0.272398414
14,0.591960102,0.869049132,0.28627515
15,0.585541755,1.001101017,0.246904574
16,0.561085641,0.862527847,0.368970295
17,0.548228025,1.050987005,0.404168656
18,0.574327439,0.946925044,0.289697713
19,0.568761319,0.950073242,0.250996753
20,0.564838946,1.000396013,0.287014125
21,0.598328888,1.047450542,0.213633467
22,0.581034303,1.014040947,0.21800517
23,0.58380723,1.069011927,0.20049538
24,0.619585216,0.921890557,0.214255173
25,0.596164137,1.126698732,0.225830515
26,0.616916746,0.992623448,0.178392073
27,0.642484158,1.130957961,0.15454627
28,0.625097662,1.141477823,0.176147224
29,0.645713538,0.965543032,0.118373359
30,0.620816767,1.154539227,0.208125911
31,0.645647049,1.060853481,0.180764993
32,0.637978107,1.248587966,0.184183446
33,0.675932348,1.063872218,0.209677699
34,0.650331676,1.022247791,0.266042273
35,0.645336717,0.978209496,0.208049398
36,0.650620908,0.963698804,0.169467238
37,0.645574391,1.130073428,0.165663293
38,0.642845273,1.190407634,0.147260879
39,0.647951424,1.146112442,0.134721796
40,0.662794679,1.135370493,0.157933731
41,0.667661726,1.009150505,0.150703189
42,0.667274654,1.159868002,0.153896085
43,0.643312126,1.010807276,0.187116612
44,0.653001815,1.13858974,0.215640145
45,0.648114383,1.138483524,0.253292606
46,0.641600072,1.204492569,0.219822069
47,0.639272332,1.141713023,0.178043318
48,0.642240435,1.030869484,0.207404944
49,0.606315374,1.486371994,0.229593863
50,0.592778921,1.20922935,0.466523794
51,0.621915489,1.23324883,0.364681283
52,0.591291904,1.184063554,0.44725278
53,0.597327054,1.407679558,0.306408153
54,0.615217507,1.412574053,0.180168982
55,0.634519249,1.325701952,0.164329621
56,0.608435214,1.180083752,0.218881273
57,0.620664924,1.269678831,0.189552917
58,0.588209629,1.416493773,0.254838913
59,0.600298852,1.352390289,0.258529753
60,0.588839203,1.578185081,0.225227391
61,0.590420902,1.352068543,0.226157677
62,0.589742869,1.565570474,0.23659029
63,0.621679157,1.286303639,0.142191712
64,0.596908092,1.604978919,0.213083281
65,0.609757096,1.36114049,0.229395119
66,0.617999703,1.54977715,0.179427126
67,0.615233451,1.453458548,0.182660287
68,0.648073852,1.436109304,0.11136015
69,0.599222779,1.454707503,0.150687738
70,0.610358506,1.334168434,0.196701246
71,0.649111718,1.583122492,0.243727905
72,0.636234581,1.389811516,0.175793069
73,0.667194009,1.406977177,0.092279782
74,0.65622431,1.299414158,0.12084559
75,0.669938445,1.437484622,0.143623021
76,0.629638255,1.326148987,0.131103815
77,0.625413179,1.308458447,0.097560168
78,0.615953773,1.57948935,0.164971982
79,0.631452203,1.239593506,0.119936939
80,0.641266942,1.181977749,0.124911294
81,0.665927768,1.522801876,0.151890661
82,0.651124328,1.148977518,0.121136502
83,0.620471001,1.395174026,0.169961247
84,0.622801065,1.371287346,0.138918246
85,0.639057457,1.183796644,0.181396673
86,0.662380189,1.388089299,0.138001503
87,0.647965997,1.319434404,0.107465671
88,0.630920023,1.259827852,0.151285654
89,0.653033286,1.38697958,0.150048877
90,0.655692428,1.492961526,0.135512513
91,0.6327115,1.539322376,0.19086273
92,0.649672985,1.134185314,0.180826171
93,0.622661501,1.311760664,0.183287861
94,0.666073024,1.547147751,0.138792058
95,0.6447981,1.368580222,0.189830341
96,0.628065556,1.418891549,0.177598949
97,0.650210708,1.521755457,0.191604995
98,0.642028034,1.506849408,0.163207777
99,0.623304933,1.433540702,0.158334041
100,0.615500063,1.609811306,0.12288686
101,0.597730964,1.460698009,0.187245507
102,0.638300687,1.529784679,0.148756786
103,0.617126763,1.456930041,0.143302417
104,0.616404206,1.570767164,0.106912148
105,0.625816971,1.744025946,0.166067079
106,0.599598259,1.432372332,0.212917605
107,0.605349809,1.641110182,0.140713008
108,0.614138722,1.445988655,0.165130467
109,0.624932647,1.578402281,0.187705445
110,0.654612154,1.447123528,0.180438721
111,0.62444976,1.50813818,0.136346751
112,0.590671301,1.47204566,0.189031303
113,0.58991085,1.435980439,0.184673647
114,0.628353119,1.401017904,0.124986801
115,0.664202034,1.619369388,0.140228422
116,0.681352705,1.376256704,0.204730503
117,0.672873259,1.517978787,0.156328819
118,0.673075259,1.514350772,0.129578694
119,0.642125487,1.632539988,0.151448769
120,0.604061157,1.546476722,0.229176345
121,0.678972691,1.48899591,0.116238607
122,0.661116987,1.491840959,0.113756255
123,0.67001459,1.593313813,0.104535149
124,0.650607526,1.487592101,0.142446087
125,0.648161232,1.60113728,0.136367042
126,0.620122164,1.733530641,0.122592366
127,0.642139554,1.672497272,0.13081808
128,0.6920802,1.428627968,0.156003111
129,0.665535152,1.620657444,0.154298746
130,0.686176658,1.400400758,0.120576171
131,0.676799476,1.528304577,0.12842864
132,0.637894273,1.519992471,0.135964156
133,0.661459327,1.831025362,0.157690621
134,0.626746044,1.477950573,0.12189323
135,0.637385845,1.450260401,0.175720853
136,0.632852405,1.358753204,0.142508723
137,0.621567577,1.801631927,0.19931705
138,0.640726596,1.681720734,0.189328104
139,0.640257746,1.456679821,0.156744307
140,0.660225451,1.536669254,0.150254131
141,0.681114078,1.649959564,0.132427276
142,0.706791103,1.540941,0.239336336
143,0.67744714,1.599256992,0.233309858
144,0.691464812,1.676690817,0.199095327
145,0.668387175,1.75861001,0.122221323
146,0.679932952,1.733862638,0.239025989
147,0.727058113,1.631109476,0.2287654
148,0.675040454,1.654808521,0.202281336
149,0.664741814,1.623999476,0.281203704
150,0.6643821,1.617949724,0.172134639
151,0.67896378,1.729739666,0.255213206
152,0.63468349,1.691655397,0.261945919
153,0.636103407,1.576409578,0.185417933
154,0.642267495,1.672099471,0.25455924
155,0.683669358,1.591365933,0.176712549
156,0.633567244,1.676583886,0.227251025
157,0.624578297,1.822959304,0.312310351
158,0.62892814,1.522260785,0.271273102
159,0.634668335,1.473231792,0.227872834
160,0.63395749,1.600609064,0.179573951
161,0.65228489,1.567180872,0.200015793
162,0.646648586,1.616277456,0.222040473
163,0.646329761,1.518376589,0.253192753
164,0.665286273,1.751502633,0.202642575
165,0.636503726,1.664978504,0.270847485
166,0.655173749,1.707959294,0.240649697
167,0.656374246,1.661320806,0.359004685
168,0.670385987,1.676383138,0.209601667
169,0.666219175,1.802823901,0.3046728
170,0.650033355,1.676594496,0.275429827
171,0.633295298,1.688162327,0.233197114
172,0.658987373,1.539567351,0.285152917
173,0.669531405,1.565084219,0.179070388
174,0.674836725,1.680179954,0.181637177
175,0.642569244,1.635976553,0.246613792
176,0.616646215,1.68197453,0.14559104
177,0.612481281,1.648260474,0.205287246
178,0.631485462,1.543265104,0.211823678
179,0.666962266,1.690936327,0.177432876
180,0.636931643,1.71902597,0.1965743
181,0.660277158,1.687218904,0.291976844
182,0.646849632,1.958910108,0.170124043
183,0.674122632,1.641510725,0.304258499
184,0.680144757,1.589575291,0.16394792
185,0.676015735,1.652149081,0.153399602
186,0.661632925,1.778567433,0.143568092
187,0.638632759,1.836013913,0.217519914
188,0.64931041,1.748525858,0.208162144
189,0.68289879,1.668889761,0.191446794
190,0.657074094,1.780437946,0.223392672
191,0.680220932,1.795945168,0.368630863
192,0.684073091,1.719571114,0.201912825
193,0.677796572,1.582128048,0.211251058
194,0.642196655,1.671417713,0.243511248
195,0.63597925,1.812394857,0.232270328
196,0.647856206,1.864682198,0.164571231
197,0.669099599,1.634786844,0.176493447
198,0.654257059,1.471658945,0.136400552
199,0.659890234,1.664776325,0.189720017
200,0.659974247,1.564992189,0.140254591
201,0.656804025,1.718346834,0.173414012
202,0.659434736,1.517150402,0.145933718
203,0.626141399,1.788287163,0.234616934
204,0.639043897,1.527425766,0.178431821
205,0.658532917,1.630482197,0.162574771
206,0.634667784,1.762160778,0.199276517
207,0.638901383,1.37148881,0.245369005
208,0.641175181,1.504257679,0.215408784
209,0.611434773,1.650527239,0.213561889
210,0.642622232,1.749142766,0.178616421
211,0.625452593,1.759393215,0.162591779
